"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"1970"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1200450";"Senador Guiomard (AC)";"Rural";"...";"...";"..."
"MU";"1200500";"Sena Madureira (AC)";"Total";"22470";"11935";"10535"
"MU";"1200500";"Sena Madureira (AC)";"Urbana";"3577";"1739";"1838"
"MU";"1200500";"Sena Madureira (AC)";"Rural";"18893";"10196";"8697"
"MU";"1200609";"Tarauacá (AC)";"Total";"23862";"12430";"11432"
"MU";"1200609";"Tarauacá (AC)";"Urbana";"3832";"1804";"2028"
"MU";"1200609";"Tarauacá (AC)";"Rural";"20030";"10626";"9404"
"MU";"1200708";"Xapuri (AC)";"Total";"13327";"6981";"6346"
"MU";"1200708";"Xapuri (AC)";"Urbana";"1872";"873";"999"
"MU";"1200708";"Xapuri (AC)";"Rural";"11455";"6108";"5347"
"MU";"1200807";"Porto Acre (AC)";"Total";"...";"...";"..."
"MU";"1200807";"Porto Acre (AC)";"Urbana";"...";"...";"..."
"MU";"1200807";"Porto Acre (AC)";"Rural";"...";"...";"..."
"MU";"1300029";"Alvarães (AM)";"Total";"...";"...";"..."
"MU";"1300029";"Alvarães (AM)";"Urbana";"...";"...";"..."
"MU";"1300029";"Alvarães (AM)";"Rural";"...";"...";"..."
"MU";"1300060";"Amaturá (AM)";"Total";"...";"...";"..."
"MU";"1300060";"Amaturá (AM)";"Urbana";"...";"...";"..."
"MU";"1300060";"Amaturá (AM)";"Rural";"...";"...";"..."
"MU";"1300086";"Anamã (AM)";"Total";"...";"...";"..."
"MU";"1300086";"Anamã (AM)";"Urbana";"...";"...";"..."
"MU";"1300086";"Anamã (AM)";"Rural";"...";"...";"..."
"MU";"1300102";"Anori (AM)";"Total";"12212";"6443";"5769"
"MU";"1300102";"Anori (AM)";"Urbana";"3504";"1823";"1681"
"MU";"1300102";"Anori (AM)";"Rural";"8708";"4620";"4088"
"MU";"1300144";"Apuí (AM)";"Total";"...";"...";"..."
"MU";"1300144";"Apuí (AM)";"Urbana";"...";"...";"..."
"MU";"1300144";"Apuí (AM)";"Rural";"...";"...";"..."
"MU";"1300201";"Atalaia do Norte (AM)";"Total";"6014";"3317";"2697"
"MU";"1300201";"Atalaia do Norte (AM)";"Urbana";"740";"379";"361"
"MU";"1300201";"Atalaia do Norte (AM)";"Rural";"5274";"2938";"2336"
"MU";"1300300";"Autazes (AM)";"Total";"17725";"9196";"8529"
"MU";"1300300";"Autazes (AM)";"Urbana";"915";"447";"468"
"MU";"1300300";"Autazes (AM)";"Rural";"16810";"8749";"8061"
"MU";"1300409";"Barcelos (AM)";"Total";"9628";"5017";"4611"
"MU";"1300409";"Barcelos (AM)";"Urbana";"1152";"565";"587"
"MU";"1300409";"Barcelos (AM)";"Rural";"8476";"4452";"4024"
"MU";"1300508";"Barreirinha (AM)";"Total";"13998";"7116";"6882"
"MU";"1300508";"Barreirinha (AM)";"Urbana";"1931";"978";"953"
"MU";"1300508";"Barreirinha (AM)";"Rural";"12067";"6138";"5929"
"MU";"1300607";"Benjamin Constant (AM)";"Total";"15127";"7712";"7415"
"MU";"1300607";"Benjamin Constant (AM)";"Urbana";"4448";"2200";"2248"
"MU";"1300607";"Benjamin Constant (AM)";"Rural";"10679";"5512";"5167"
"MU";"1300631";"Beruri (AM)";"Total";"...";"...";"..."
"MU";"1300631";"Beruri (AM)";"Urbana";"...";"...";"..."
"MU";"1300631";"Beruri (AM)";"Rural";"...";"...";"..."
"MU";"1300680";"Boa Vista do Ramos (AM)";"Total";"...";"...";"..."
"MU";"1300680";"Boa Vista do Ramos (AM)";"Urbana";"...";"...";"..."
"MU";"1300680";"Boa Vista do Ramos (AM)";"Rural";"...";"...";"..."
"MU";"1300706";"Boca do Acre (AM)";"Total";"19989";"10271";"9718"
"MU";"1300706";"Boca do Acre (AM)";"Urbana";"4105";"2037";"2068"
"MU";"1300706";"Boca do Acre (AM)";"Rural";"15884";"8234";"7650"
"MU";"1300805";"Borba (AM)";"Total";"16514";"8607";"7907"
"MU";"1300805";"Borba (AM)";"Urbana";"2750";"1347";"1403"
"MU";"1300805";"Borba (AM)";"Rural";"13764";"7260";"6504"
"MU";"1300839";"Caapiranga (AM)";"Total";"...";"...";"..."
"MU";"1300839";"Caapiranga (AM)";"Urbana";"...";"...";"..."
"MU";"1300839";"Caapiranga (AM)";"Rural";"...";"...";"..."
"MU";"1300904";"Canutama (AM)";"Total";"5759";"2968";"2791"
"MU";"1300904";"Canutama (AM)";"Urbana";"1322";"647";"675"
"MU";"1300904";"Canutama (AM)";"Rural";"4437";"2321";"2116"
"MU";"1301001";"Carauari (AM)";"Total";"16984";"8758";"8226"
"MU";"1301001";"Carauari (AM)";"Urbana";"2373";"1192";"1181"
"MU";"1301001";"Carauari (AM)";"Rural";"14611";"7566";"7045"
"MU";"1301100";"Careiro (AM)";"Total";"40767";"21411";"19356"
"MU";"1301100";"Careiro (AM)";"Urbana";"168";"73";"95"
"MU";"1301100";"Careiro (AM)";"Rural";"40599";"21338";"19261"
"MU";"1301159";"Careiro da Várzea (AM)";"Total";"...";"...";"..."
"MU";"1301159";"Careiro da Várzea (AM)";"Urbana";"...";"...";"..."
"MU";"1301159";"Careiro da Várzea (AM)";"Rural";"...";"...";"..."
"MU";"1301209";"Coari (AM)";"Total";"27636";"14305";"13331"
"MU";"1301209";"Coari (AM)";"Urbana";"8878";"4492";"4386"
"MU";"1301209";"Coari (AM)";"Rural";"18758";"9813";"8945"
"MU";"1301308";"Codajás (AM)";"Total";"12110";"6229";"5881"
"MU";"1301308";"Codajás (AM)";"Urbana";"2387";"1171";"1216"
"MU";"1301308";"Codajás (AM)";"Rural";"9723";"5058";"4665"
"MU";"1301407";"Eirunepé (AM)";"Total";"10882";"5572";"5310"
"MU";"1301407";"Eirunepé (AM)";"Urbana";"3930";"1982";"1948"
"MU";"1301407";"Eirunepé (AM)";"Rural";"6952";"3590";"3362"
