Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
330440;RJ;Rio Claro;59º;1.778º;0,5514;37º;1.480º;0,6579;1º;1º;1,0000;21º;860º;0,9280;18º;950º;0,9850;1º;1º;1,0000
330450;RJ;Rio das Flores;1º;1º;1,0000;28º;1.214º;0,7866;1º;1º;1,0000;1º;1º;1,0000;19º;985º;0,9626;74º;3.141º;0,1009
330452;RJ;Rio das Ostras;56º;1.756º;0,5618;40º;1.539º;0,6308;25º;957º;0,9293;28º;1.032º;0,8447;34º;1.356º;0,7744;36º;1.621º;0,6538
330455;RJ;Rio de Janeiro;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330460;RJ;Santa Maria Madalena;1º;1º;1,0000;1º;1º;1,0000;30º;1.073º;0,8705;31º;1.130º;0,7932;27º;1.224º;0,8371;1º;1º;1,0000
330470;RJ;Santo Antônio de Pádua;53º;1.597º;0,6336;74º;2.453º;0,2843;53º;1.670º;0,6106;51º;1.707º;0,5734;54º;1.987º;0,5172;45º;1.938º;0,5247
330475;RJ;São Francisco de Itabapoana;58º;1.769º;0,5558;64º;2.200º;0,3736;76º;2.366º;0,3367;75º;2.570º;0,2477;83º;3.293º;0,0566;75º;3.209º;0,0781
330480;RJ;São Fidélis;45º;1.396º;0,7166;38º;1.504º;0,6500;38º;1.214º;0,8070;62º;2.197º;0,3708;59º;2.135º;0,4590;47º;1.998º;0,5032
330490;RJ;São Gonçalo;22º;878º;0,9942;1º;1º;1,0000;24º;944º;0,9401;22º;949º;0,8856;20º;1.032º;0,9324;17º;920º;0,9914
330500;RJ;São João da Barra;63º;2.018º;0,4599;73º;2.413º;0,2977;65º;2.069º;0,4410;23º;963º;0,8788;21º;1.066º;0,9152;44º;1.928º;0,5289
