Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
220455;PI;Guaribas;152º;3.062º;0,4162;180º;4.152º;0,3699;190º;4.726º;0,1762;nd;nd;nd;nd;nd;nd;nd;nd;nd
220460;PI;Hugo Napoleão;1º;1º;1,0000;1º;1º;1,0000;27º;478º;0,9742;1º;1º;1,0000;137º;2.806º;0,2883;75º;1.804º;0,5494
220465;PI;Ilha Grande;139º;2.675º;0,4724;107º;2.321º;0,6735;66º;1.540º;0,6142;67º;1.095º;0,7474;30º;436º;0,7713;70º;1.704º;0,5681
220470;PI;Inhuma;118º;2.283º;0,5404;89º;1.952º;0,7570;116º;2.863º;0,4128;155º;3.517º;0,3171;42º;702º;0,6525;67º;1.649º;0,5790
220480;PI;Ipiranga do Piauí;53º;867º;0,8712;63º;1.298º;0,9074;57º;1.243º;0,6810;47º;762º;0,8736;1º;1º;1,0000;1º;1º;1,0000
220490;PI;Isaías Coelho;203º;5.032º;0,1210;169º;3.965º;0,3994;154º;3.937º;0,2794;102º;1.714º;0,5917;186º;4.551º;0,1328;102º;2.384º;0,4591
220500;PI;Itainópolis;1º;1º;1,0000;102º;2.200º;0,6966;94º;2.278º;0,4929;70º;1.135º;0,7336;38º;587º;0,6977;103º;2.437º;0,4516
220510;PI;Itaueira;96º;1.662º;0,6568;191º;4.520º;0,3022;200º;5.115º;0,1049;199º;5.221º;0,0228;160º;3.774º;0,1966;109º;2.608º;0,4279
220515;PI;Jacobina do Piauí;1º;1º;1,0000;168º;3.938º;0,4028;37º;689º;0,8692;37º;604º;0,9502;201º;5.195º;0,0628;83º;1.959º;0,5254
220520;PI;Jaicós;131º;2.599º;0,4854;142º;3.104º;0,5392;75º;1.947º;0,5451;80º;1.313º;0,6812;98º;1.688º;0,4312;156º;3.752º;0,2977
220525;PI;Jardim do Mulato;46º;682º;0,9413;1º;1º;1,0000;1º;1º;1,0000;191º;4.959º;0,1023;1º;1º;1,0000;84º;1.966º;0,5243
220527;PI;Jatobá do Piauí;99º;1.772º;0,6376;149º;3.238º;0,5184;108º;2.603º;0,4480;128º;2.473º;0,4583;110º;1.999º;0,3844;180º;4.300º;0,2346
220530;PI;Jerumenha;189º;4.468º;0,2202;212º;5.223º;0,0639;183º;4.572º;0,1980;169º;4.129º;0,2374;194º;4.992º;0,0880;204º;5.184º;0,0955
220535;PI;João Costa;91º;1.584º;0,6723;1º;1º;1,0000;59º;1.366º;0,6511;76º;1.250º;0,6978;1º;1º;1,0000;1º;1º;1,0000
220540;PI;Joaquim Pires;192º;4.607º;0,2006;154º;3.357º;0,4959;163º;4.127º;0,2551;nd;nd;nd;73º;1.143º;0,5344;51º;1.420º;0,6299
220545;PI;Joca Marques;1º;1º;1,0000;59º;1.223º;0,9302;70º;1.765º;0,5749;1º;1º;1,0000;87º;1.339º;0,4933;74º;1.776º;0,5545
220550;PI;José de Freitas;73º;1.231º;0,7561;nd;nd;nd;151º;3.830º;0,2915;161º;3.905º;0,2685;192º;4.943º;0,0948;80º;1.910º;0,5327
220551;PI;Juazeiro do Piauí;68º;1.161º;0,7746;132º;2.822º;0,5845;46º;954º;0,7633;55º;885º;0,8155;109º;1.998º;0,3844;107º;2.581º;0,4317
220552;PI;Júlio Borges;43º;635º;0,9630;141º;3.081º;0,5429;188º;4.706º;0,1798;nd;nd;nd;77º;1.216º;0,5197;158º;3.814º;0,2912
220553;PI;Jurema;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;48º;799º;0,6231;33º;1.031º;0,7200
220554;PI;Lagoinha do Piauí;108º;1.985º;0,5969;88º;1.923º;0,7623;92º;2.259º;0,4959;50º;780º;0,8682;135º;2.675º;0,3026;92º;2.139º;0,4963
220555;PI;Lagoa Alegre;199º;4.885º;0,1533;nd;nd;nd;121º;3.024º;0,3904;nd;nd;nd;nd;nd;nd;192º;4.843º;0,1606
220556;PI;Lagoa do Barro do Piauí;nd;nd;nd;1º;1º;1,0000;nd;nd;nd;68º;1.114º;0,7407;95º;1.637º;0,4377;25º;835º;0,7829
220557;PI;Lagoa de São Francisco;179º;4.097º;0,2748;201º;4.885º;0,2201;133º;3.352º;0,3508;150º;3.242º;0,3542;170º;3.971º;0,1823;136º;3.286º;0,3465
220558;PI;Lagoa do Piauí;nd;nd;nd;101º;2.183º;0,7001;50º;1.057º;0,7331;57º;904º;0,8094;93º;1.591º;0,4452;147º;3.539º;0,3208
220559;PI;Lagoa do Sítio;1º;1º;1,0000;1º;1º;1,0000;54º;1.217º;0,6892;134º;2.649º;0,4334;118º;2.199º;0,3587;17º;476º;0,9674
220560;PI;Landri Sales;154º;3.116º;0,4097;61º;1.266º;0,9155;174º;4.360º;0,2258;187º;4.825º;0,1313;108º;1.978º;0,3874;24º;738º;0,8221
220570;PI;Luís Correia;197º;4.855º;0,1588;206º;5.009º;0,1826;164º;4.139º;0,2538;174º;4.474º;0,1862;196º;5.020º;0,0845;173º;4.172º;0,2474
220580;PI;Luzilândia;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;138º;2.819º;0,2870;134º;3.226º;0,3542
220585;PI;Madeiro;144º;2.891º;0,4410;113º;2.508º;0,6389;93º;2.269º;0,4937;177º;4.587º;0,1712;27º;414º;0,7870;87º;2.020º;0,5151
220590;PI;Manoel Emídio;63º;1.104º;0,7928;1º;1º;1,0000;80º;2.072º;0,5263;83º;1.355º;0,6703;nd;nd;nd;nd;nd;nd
220595;PI;Marcolândia;56º;930º;0,8461;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
220600;PI;Marcos Parente;1º;1º;1,0000;1º;1º;1,0000;nd;nd;nd;127º;2.458º;0,4599;130º;2.482º;0,3244;129º;3.062º;0,3714
220605;PI;Massapê do Piauí;109º;1.988º;0,5963;135º;2.882º;0,5778;193º;4.764º;0,1699;1º;1º;1,0000;1º;1º;1,0000;31º;991º;0,7308
220610;PI;Matias Olímpio;190º;4.568º;0,2058;187º;4.402º;0,3249;84º;2.127º;0,5165;77º;1.253º;0,6967;64º;1.002º;0,5640;106º;2.535º;0,4377
220620;PI;Miguel Alves;87º;1.519º;0,6845;196º;4.765º;0,2524;168º;4.232º;0,2432;72º;1.178º;0,7190;144º;3.070º;0,2628;183º;4.536º;0,2056
220630;PI;Miguel Leão;148º;2.999º;0,4258;115º;2.539º;0,6327;158º;4.006º;0,2700;143º;3.038º;0,3809;164º;3.830º;0,1926;57º;1.495º;0,6129
220635;PI;Milton Brandão;1º;1º;1,0000;70º;1.445º;0,8692;191º;4.729º;0,1757;91º;1.465º;0,6429;125º;2.360º;0,3385;76º;1.862º;0,5406
220640;PI;Monsenhor Gil;185º;4.355º;0,2389;75º;1.617º;0,8252;48º;999º;0,7456;90º;1.452º;0,6471;191º;4.736º;0,1162;203º;5.168º;0,0997
220650;PI;Monsenhor Hipólito;149º;3.002º;0,4253;1º;1º;1,0000;152º;3.886º;0,2853;101º;1.705º;0,5935;147º;3.156º;0,2553;131º;3.100º;0,3688
220660;PI;Monte Alegre do Piauí;45º;671º;0,9479;66º;1.340º;0,8957;85º;2.139º;0,5142;95º;1.607º;0,6127;116º;2.182º;0,3607;78º;1.894º;0,5347
220665;PI;Morro Cabeça no Tempo;98º;1.730º;0,6447;nd;nd;nd;49º;1.035º;0,7365;44º;686º;0,9132;169º;3.925º;0,1857;130º;3.085º;0,3700
220667;PI;Morro do Chapéu do Piauí;84º;1.458º;0,6949;118º;2.574º;0,6262;nd;nd;nd;132º;2.580º;0,4438;103º;1.761º;0,4195;177º;4.189º;0,2463
220669;PI;Murici dos Portelas;113º;2.144º;0,5642;1º;1º;1,0000;30º;613º;0,9020;66º;1.090º;0,7490;52º;850º;0,6056;104º;2.490º;0,4444
220670;PI;Nazaré do Piauí;196º;4.786º;0,1702;123º;2.669º;0,6098;177º;4.447º;0,2144;170º;4.161º;0,2336;63º;996º;0,5662;49º;1.387º;0,6362
220672;PI;Nazária;79º;1.366º;0,7182;181º;4.188º;0,3648;90º;2.229º;0,4999;89º;1.431º;0,6523;41º;604º;0,6937;56º;1.486º;0,6147
220675;PI;Nossa Senhora de Nazaré;167º;3.566º;0,3465;62º;1.268º;0,9145;135º;3.397º;0,3451;130º;2.498º;0,4551;140º;2.866º;0,2828;152º;3.636º;0,3107
220680;PI;Nossa Senhora dos Remédios;114º;2.182º;0,5578;67º;1.361º;0,8914;64º;1.449º;0,6332;36º;594º;0,9551;134º;2.641º;0,3059;29º;952º;0,7448
220690;PI;Novo Oriente do Piauí;69º;1.176º;0,7701;1º;1º;1,0000;146º;3.709º;0,3076;1º;1º;1,0000;78º;1.217º;0,5192;190º;4.807º;0,1663
220695;PI;Novo Santo Antônio;123º;2.411º;0,5160;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;44º;713º;0,6476;1º;1º;1,0000
