Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;1705607;Conceição do Tocantins (TO);1,67
MU;1706001;Couto Magalhães (TO);3,16
MU;1706100;Cristalândia (TO);3,91
MU;1706258;Crixás do Tocantins (TO);1,59
MU;1706506;Darcinópolis (TO);3,22
MU;1707009;Dianópolis (TO);5,94
MU;1707108;Divinópolis do Tocantins (TO);2,71
MU;1707207;Dois Irmãos do Tocantins (TO);1,91
MU;1707306;Dueré (TO);1,34
MU;1707405;Esperantina (TO);18,8
MU;1707553;Fátima (TO);9,94
MU;1707652;Figueirópolis (TO);2,77
MU;1707702;Filadélfia (TO);4,28
MU;1708205;Formoso do Araguaia (TO);1,37
MU;1708254;Fortaleza do Tabocão (TO);3,89
MU;1708304;Goianorte (TO);2,75
MU;1709005;Goiatins (TO);1,88
MU;1709302;Guaraí (TO);10,23
MU;1709500;Gurupi (TO);41,8
MU;1709807;Ipueiras (TO);2,01
MU;1710508;Itacajá (TO);2,33
MU;1710706;Itaguatins (TO);8,15
MU;1710904;Itapiratins (TO);2,84
MU;1711100;Itaporã do Tocantins (TO);2,51
MU;1711506;Jaú do Tocantins (TO);1,61
MU;1711803;Juarina (TO);4,64
MU;1711902;Lagoa da Confusão (TO);0,97
MU;1711951;Lagoa do Tocantins (TO);3,87
MU;1712009;Lajeado (TO);8,6
MU;1712157;Lavandeira (TO);3,09
MU;1712405;Lizarda (TO);0,65
MU;1712454;Luzinópolis (TO);9,38
MU;1712504;Marianópolis do Tocantins (TO);2,08
MU;1712702;Mateiros (TO);0,23
MU;1712801;Maurilândia do Tocantins (TO);4,27
MU;1713205;Miracema do Tocantins (TO);7,79
MU;1713304;Miranorte (TO);12,24
MU;1713601;Monte do Carmo (TO);1,86
MU;1713700;Monte Santo do Tocantins (TO);1,91
MU;1713809;Palmeiras do Tocantins (TO);7,67
MU;1713957;Muricilândia (TO);2,66
MU;1714203;Natividade (TO);2,78
MU;1714302;Nazaré (TO);11,08
MU;1714880;Nova Olinda (TO);6,82
MU;1715002;Nova Rosalândia (TO);7,3
MU;1715101;Novo Acordo (TO);1,41
MU;1715150;Novo Alegre (TO);11,42
MU;1715259;Novo Jardim (TO);1,88
MU;1715507;Oliveira de Fátima (TO);5,04
MU;1715705;Palmeirante (TO);1,88
MU;1715754;Palmeirópolis (TO);4,31
MU;1716109;Paraíso do Tocantins (TO);35,03
MU;1716208;Paranã (TO);0,92
MU;1716307;Pau D'Arco (TO);3,33
MU;1716505;Pedro Afonso (TO);5,74
MU;1716604;Peixe (TO);1,96
MU;1716653;Pequizeiro (TO);4,18
MU;1716703;Colméia (TO);8,69
MU;1717008;Pindorama do Tocantins (TO);2,89
MU;1717206;Piraquê (TO);2,14
MU;1717503;Pium (TO);0,67
MU;1717800;Ponte Alta do Bom Jesus (TO);2,52
MU;1717909;Ponte Alta do Tocantins (TO);1,11
MU;1718006;Porto Alegre do Tocantins (TO);5,57
MU;1718204;Porto Nacional (TO);11,04
MU;1718303;Praia Norte (TO);26,5
MU;1718402;Presidente Kennedy (TO);4,78
MU;1718451;Pugmil (TO);5,9
MU;1718501;Recursolândia (TO);1,7
MU;1718550;Riachinho (TO);8,1
MU;1718659;Rio da Conceição (TO);2,18
MU;1718709;Rio dos Bois (TO);3,04
MU;1718758;Rio Sono (TO);0,98
MU;1718808;Sampaio (TO);17,38
MU;1718840;Sandolândia (TO);0,94
MU;1718865;Santa Fé do Araguaia (TO);3,93
MU;1718881;Santa Maria do Tocantins (TO);2,05
MU;1718899;Santa Rita do Tocantins (TO);0,65
MU;1718907;Santa Rosa do Tocantins (TO);2,54
MU;1719004;Santa Tereza do Tocantins (TO);4,67
MU;1720002;Santa Terezinha do Tocantins (TO);9,17
MU;1720101;São Bento do Tocantins (TO);4,17
MU;1720150;São Félix do Tocantins (TO);0,75
MU;1720200;São Miguel do Tocantins (TO);26,28
MU;1720259;São Salvador do Tocantins (TO);2,05
MU;1720309;São Sebastião do Tocantins (TO);14,91
MU;1720499;São Valério (TO);1,74
MU;1720655;Silvanópolis (TO);4,03
MU;1720804;Sítio Novo do Tocantins (TO);28,23
MU;1720853;Sucupira (TO);1,7
MU;1720903;Taguatinga (TO);6,18
MU;1720937;Taipas do Tocantins (TO);1,74
MU;1720978;Talismã (TO);1,19
MU;1721000;Palmas (TO);102,9
MU;1721109;Tocantínia (TO);2,59
MU;1721208;Tocantinópolis (TO);21
MU;1721257;Tupirama (TO);2,21
MU;1721307;Tupiratins (TO);2,34
MU;1722081;Wanderlândia (TO);8
MU;1722107;Xambioá (TO);9,68
MU;2100055;Açailândia (MA);17,92
MU;2100105;Afonso Cunha (MA);15,9
MU;2100154;Água Doce do Maranhão (MA);26,13
MU;2100204;Alcântara (MA);14,7
MU;2100303;Aldeias Altas (MA);12,33
MU;2100402;Altamira do Maranhão (MA);15,33
MU;2100436;Alto Alegre do Maranhão (MA);64,18
MU;2100477;Alto Alegre do Pindaré (MA);16,07
MU;2100501;Alto Parnaíba (MA);0,97
MU;2100550;Amapá do Maranhão (MA);12,8
MU;2100600;Amarante do Maranhão (MA);5,1
MU;2100709;Anajatuba (MA);25,01
MU;2100808;Anapurus (MA);22,91
MU;2100832;Apicum-Açu (MA);42,36
MU;2100873;Araguanã (MA);17,35
MU;2100907;Araioses (MA);23,84
MU;2100956;Arame (MA);10,54
MU;2101004;Arari (MA);25,89
MU;2101103;Axixá (MA);56,15
MU;2101202;Bacabal (MA);59,42
MU;2101251;Bacabeira (MA);24,25
MU;2101301;Bacuri (MA);21,08
MU;2101350;Bacurituba (MA);7,85
MU;2101400;Balsas (MA);6,36
MU;2101509;Barão de Grajaú (MA);7,94
MU;2101608;Barra do Corda (MA);15,92
MU;2101707;Barreirinhas (MA);17,65
MU;2101731;Belágua (MA);13,06
MU;2101772;Bela Vista do Maranhão (MA);47,17
MU;2101806;Benedito Leite (MA);3,07
