IBGE;TSE;MUNICIPIO;UF;PIP
1712157;73601;LAVANDEIRA;TO;164
1712405;95699;LIZARDA;TO;416
1712504;92304;MARIANÓPOLIS DO TOCANTINS;TO;768
1712702;73270;MATEIROS;TO;299
1712801;73059;MAURILÂNDIA DO TOCANTINS;TO;315
1713205;94617;MIRACEMA DO TOCANTINS;TO;3570
1713304;94633;MIRANORTE;TO;2046
1713601;94692;MONTE DO CARMO;TO;920
1713700;73563;MONTE SANTO DO TOCANTINS;TO;459
1713809;73040;PALMEIRAS DO TOCANTINS;TO;669
1713957;73342;MURICILÂNDIA;TO;452
1714203;94811;NATIVIDADE;TO;1638
1714302;94838;NAZARÉ;TO;715
1714880;96636;NOVA OLINDA;TO;1352
1715002;92401;NOVA ROSALÂNDIA;TO;584
1715101;94994;NOVO ACORDO;TO;797
1715150;73148;NOVO ALEGRE;TO;358
1715259;73172;NOVO JARDIM;TO;514
1715507;73466;OLIVEIRA DE FÁTIMA;TO;244
1715705;73083;PALMEIRANTE;TO;445
1715754;96490;PALMEIRÓPOLIS;TO;1292
1716109;95192;PARAÍSO DO TOCANTINS;TO;8225
1716208;95214;PARANÃ;TO;1053
1716307;73261;PAU D'ARCO;TO;490
1716505;95257;PEDRO AFONSO;TO;3
1716604;95273;PEIXE;TO;1470
1716653;92487;PEQUIZEIRO;TO;425
1716703;95290;COLMÉIA;TO;1110
1717008;95370;PINDORAMA DO TOCANTINS;TO;492
1717206;73016;PIRAQUÊ;TO;252
1717503;95478;PIUM;TO;1115
1717800;95516;PONTE ALTA DO BOM JESUS;TO;768
1717909;95532;PONTE ALTA DO TOCANTINS;TO;814
1718006;92509;PORTO ALEGRE DO TOCANTINS;TO;549
1718204;95591;PORTO NACIONAL;TO;21220
1718303;92525;PRAIA NORTE;TO;723
1718402;96296;PRESIDENTE KENNEDY;TO;537
1718451;73571;PUGMIL;TO;588
1718501;73229;RECURSOLÂNDIA;TO;279
1718550;73024;RIACHINHO;TO;532
1718659;73431;RIO DA CONCEIÇÃO;TO;376
1718709;73415;RIO DOS BOIS;TO;305
1718758;96792;RIO SONO;TO;761
1718808;92541;SAMPAIO;TO;494
1718840;73156;SANDOLÂNDIA;TO;513
1718865;73350;SANTA FÉ DO ARAGUAIA;TO;929
1718881;73130;SANTA MARIA DO TOCANTINS;TO;342
1718899;73547;SANTA RITA DO TOCANTINS;TO;261
1718907;92584;SANTA ROSA DO TOCANTINS;TO;689
1719004;92606;SANTA TEREZA DO TOCANTINS;TO;357
1720002;73539;SANTA TEREZINHA DO TOCANTINS;TO;329
1720101;73288;SÃO BENTO DO TOCANTINS;TO;17
1720150;73105;SÃO FÉLIX DO TOCANTINS;TO;335
1720200;73180;SÃO MIGUEL DO TOCANTINS;TO;1666
1720259;73393;SÃO SALVADOR DO TOCANTINS;TO;503
1720309;96032;SÃO SEBASTIÃO DO TOCANTINS;TO;432
1720499;92681;SÃO VALÉRIO DA NATIVIDADE;TO;790
1720655;96598;SILVANÓPOLIS;TO;918
1720804;96130;SÍTIO NOVO DO TOCANTINS;TO;689
1720853;73377;SUCUPIRA;TO;290
1720903;96156;TAGUATINGA;TO;1904
1720937;73164;TAIPAS DO TOCANTINS;TO;372
1720978;73504;TALISMÃ;TO;498
1721000;73440;PALMAS;TO;39196
1721109;96199;TOCANTÍNIA;TO;830
1721208;96210;TOCANTINÓPOLIS;TO;3227
1721257;73458;TUPIRAMA;TO;248
1721307;73237;TUPIRATINS;TO;285
1722081;96652;WANDERLÂNDIA;TO;1425
1722107;96431;XAMBIOÁ;TO;1430
2100055;9610;AÇAILÂNDIA;MA;6899
2100105;7013;AFONSO CUNHA;MA;428
2100154;7005;ÁGUA DOCE DO MARANHÃO;MA;1123
2100204;7030;ALCÂNTARA;MA;2943
2100303;7056;ALDEIAS ALTAS;MA;1818
2100402;7072;ALTAMIRA DO MARANHÃO;MA;1038
2100436;7021;ALTO ALEGRE DO MARANHÃO;MA;1787
2100477;7048;ALTO ALEGRE DO PINDARÉ;MA;1487
2100501;7099;ALTO PARNAÍBA;MA;619
2100550;7080;AMAPÁ DO MARANHÃO;MA;457
2100600;7110;AMARANTE DO MARANHÃO;MA;1059
2100709;7137;ANAJATUBA;MA;4089
2100808;7153;ANAPURUS;MA;1517
2100832;7064;APICUM-AÇU;MA;929
2100873;7102;ARAGUANÃ;MA;899
2100907;7170;ARAIOSES;MA;2418
2100956;9679;ARAME;MA;976
2101004;7196;ARARI;MA;2156
2101103;7218;AXIXÁ;MA;1365
2101202;7234;BACABAL;MA;6970
2101251;7129;BACABEIRA;MA;1482
2101301;7250;BACURI;MA;1283
2101350;7145;BACURITUBA;MA;781
2101400;7277;BALSAS;MA;6475
2101509;7293;BARÃO DE GRAJAÚ;MA;1578
2101608;7315;BARRA DO CORDA;MA;5936
2101707;7331;BARREIRINHAS;MA;3824
2101731;7161;BELÁGUA;MA;452
2101772;7188;BELA VISTA DO MARANHÃO;MA;851
2101806;7358;BENEDITO LEITE;MA;299
2101905;7374;BEQUIMÃO;MA;3031
2101939;7200;BERNARDO DO MEARIM;MA;494
2101970;7323;BOA VISTA DO GURUPI;MA;759
2102002;9555;BOM JARDIM;MA;1890
2102036;7269;BOM JESUS DAS SELVAS;MA;1148
2102077;7285;BOM LUGAR;MA;1032
2102101;7390;BREJO;MA;2184
2102150;7307;BREJO DE AREIA;MA;409
2102200;7412;BURITI;MA;1369
2102309;7439;BURITI BRAVO;MA;1341
2102325;7340;BURITICUPU;MA;3062
2102358;7366;BURITIRANA;MA;226
2102374;7226;CACHOEIRA GRANDE;MA;469
2102408;7455;CAJAPIÓ;MA;824
2102507;7471;CAJARI;MA;932
